,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
0,Ben Shapiro,Hardcover,$16.79,9780062857903,$27.99,288.0,6 x 1 x 9 inches,03/19/19,Broadside Books,The Right Side of History: How Reason and Moral Purpose Made the West Great
1,Victor Davis Hanson,Hardcover,$17.99,9781541673540,$30.00,400.0,6.6 x 1.6 x 9.7 inches,03/05/19,Basic Books,The Case for Trump
2,Pete Buttigieg,Hardcover,$16.77,9781631494369,$27.95,352.0,6.4 x 1.3 x 9.6 inches,02/12/19,Liveright; 1 edition,Shortest Way Home: One Mayor's Challenge and a Model for America's Future
3,Jocko Willink and Leif Babin,Hardcover,$14.95,9781250183866,$27.99,384.0,5.5 x 1.2 x 8.2 inches,11/21/17,St. Martin's Press; 1 edition,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition)
4,Yuval Noah Harari,Paperback,$14.76,9780062316110,$22.99,464.0,6 x 1.1 x 9 inches,05/15/18,Harper Perennial; Reprint edition,Sapiens: A Brief History of Humankind
5,Patrick Radden Keefe,Hardcover,$18.59,9780385521314,$28.95,464.0,6.5 x 1.4 x 9.4 inches,02/26/19,Doubleday; First Edition edition,Say Nothing: A True Story of Murder and Memory in Northern Ireland
6,Susan Page,Hardcover,$19.50,9781538713648,$32.50,432.0,6.4 x 1.5 x 9.2 inches,04/02/19,Twelve,The Matriarch: Barbara Bush and the Making of an American Dynasty
7,Bob Klapisch and Paul Solotaroff,Hardcover,$16.80,9781328589354,$28.00,256.0,9 x 6 x 9 inches,03/26/19,Houghton Mifflin Harcourt,Inside the Empire: The True Power Behind the New York Yankees
8,Ramin Setoodeh,Hardcover,$17.39,9781250112095,$28.99,336.0,6.4 x 1.3 x 9.6 inches,04/02/19,Thomas Dunne Books,"Ladies Who Punch: The Explosive Inside Story of ""The View"""
9,Andrew G. McCabe,Hardcover,$14.75,9781250207579,$29.99,288.0,6.6 x 1.1 x 9.4 inches,02/19/19,St. Martin's Press; 2nd edition,The Threat: How the FBI Protects America in the Age of Terror and Trump
10,David Horowitz,Hardcover,$16.19,9781630061142,$26.99,224.0,6.5 x 0.8 x 9.5 inches,03/05/19,Humanix Books,DARK AGENDA: The War to Destroy Christian America
11,Viktor E. Frankl and William J. Winslade,Paperback,$6.59,9780807014295,$10.99,184.0,4.2 x 0.5 x 6.7 inches,06/01/06,Beacon Press; 1 edition,Man's Search for Meaning
12,The Princeton Review ,Paperback,$17.20,9781524758172,$25.99,560.0,8.4 x 1.3 x 10.8 inches,08/07/18,Princeton Review; Premium edition,"Cracking the AP World History Exam 2019, Premium Edition: 5 Practice Tests + Complete Content Review (College Test Preparation)"
