title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
1356,Bernard Cornwell,Paperback,$16.99,$16.99,9780061969713,HarperCollins Publishers,08/27/2013,432,5.20(w) x 7.80(h) x 1.10(d)
1984,George Orwell,Paperback,$7.96,$9.99,9780451524935,Penguin Publishing Group,07/01/1950,336,4.30(w) x 7.60(h) x 1.00(d)
2666,Roberto Bolaño,Paperback,$23.40,$26.00,9780312429218,Picador,09/01/2009,912,5.50(w) x 8.10(h) x 1.70(d)
. . . And His Lovely Wife: A Campaign Memoir from the Woman Beside the Man,Connie Schultz,Paperback,$16.20,$18.00,9780812976878,Random House Publishing Group,05/13/2008,304,5.00(w) x 7.40(h) x 0.70(d)
....Or So They Say: History of idioms and superstitions,Ms Y Grantham,Paperback,$10.95,$10.95,9781517639228,CreateSpace Publishing,09/28/2015,178,6.00(w) x 9.00(h) x 0.38(d)
'Til Morning Light,Ann Moore,Paperback,$15.75,$16.99,9781504052818,Open Road Integrated Media LLC,08/21/2018,398,5.50(w) x 8.40(h) x 0.90(d)
'Tis Herself: An Autobiography,Maureen O'Hara,Paperback,$17.00,$17.00,9780743269162,Simon & Schuster,02/22/2005,336,6.12(w) x 9.25(h) x 0.90(d)
"'Work Hard, Study...and Keep Out of Politics!': Adventures and Lessons from an Unexpected Public Life",James A. Baker III,Paperback,$21.95,$21.95,9780810124899,Northwestern University Press,06/28/2008,496,5.90(w) x 8.90(h) x 1.10(d)
"""A Rich Spot of Earth"": Thomas Jefferson's Revolutionary Garden at Monticello",Peter J. Hatch,Paperback,$27.50,$27.50,9780300208627,Yale University Press,09/30/2014,280,8.40(w) x 10.10(h) x 0.40(d)
100 Black And White Male Nude Prints & 100 Photos Of The Artist,Thom Bierdz,Hardcover,$29.95,$29.95,9781732732032,Thom Bierdz Inc,12/12/2018,242,8.50(w) x 11.00(h) x 0.56(d)
11/22/63,Stephen King,Paperback,$17.80,$19.99,9781451627299,Gallery Books,07/24/2012,849,6.18(w) x 8.84(h) x 2.03(d)
1177 B.C.: The Year Civilization Collapsed,Eric H. Cline,Paperback,$14.41,$16.95,9780691168388,Princeton University Press,09/22/2015,264,5.40(w) x 8.40(h) x 0.90(d)
12 Days at Bleakly Manor (Once Upon a Dickens Christmas Book 1),Michelle Griep,Paperback,$11.69,$12.99,9781683222583,"Barbour Publishing, Incorporated",09/01/2017,192,6.30(w) x 7.50(h) x 0.90(d)
14 Minutes: A Running Legend's Life and Death and Life,Alberto Salazar,Paperback,$14.39,$15.99,9781609619985,Potter/Ten Speed/Harmony/Rodale,04/09/2013,280,5.70(w) x 8.30(h) x 0.76(d)
18 in America: A Young Golfer's Epic Journey to Find the Essence of the Game,Dylan Dethier,Paperback,$17.99,$17.99,9781451693645,Scribner,04/22/2014,272,5.50(w) x 8.37(h) x 0.70(d)
"1858: Abraham Lincoln, Jefferson Davis, Robert E. Lee, Ulysses S. Grant and the War They Failed to See",Bruce Chadwick,Paperback,$20.99,$20.99,9781402262685,Sourcebooks,09/01/2011,384,5.90(w) x 8.90(h) x 0.90(d)
1916: A Novel of the Irish Rebellion,Morgan Llywelyn,Paperback,$15.29,$16.99,9780765386144,Tom Doherty Associates,03/01/2016,464,5.70(w) x 8.40(h) x 1.60(d)
"1917: Lenin, Wilson, and the Birth of the New World Disorder",Arthur Herman PhD,Paperback,$17.09,$18.99,9780062570895,HarperCollins Publishers,11/27/2018,496,5.20(w) x 7.90(h) x 1.20(d)
1954: The Year Willie Mays and the First Generation of Black Superstars Changed Major League Baseball Forever,Bill Madden,Paperback,$14.82,$15.99,9780306823695,Hachette Books,03/10/2015,320,5.90(w) x 8.90(h) x 1.10(d)
1984 (en español),George Orwell,Paperback,$10.00,$10.00,9788499890944,PRH Grupo Editorial,07/16/2013,352,7.30(w) x 4.90(h) x 0.60(d)
1Q84,Haruki Murakami,Paperback,$17.01,$18.00,9780307476463,Knopf Doubleday Publishing Group,01/22/2013,1184,5.44(w) x 7.76(h) x 2.09(d)
1Q84: 3 Volume Boxed Set,Haruki Murakami,Paperback,$28.80,$32.00,9780345802934,Knopf Doubleday Publishing Group,05/15/2012,1184,5.34(w) x 7.76(h) x 2.50(d)
