Prince: The Last Interview: and Other Conversations (The Last Interview Series),Prince and Hanif Abdurraqib ,Paperback,$11.59,$16.99,978-1612197456,Melville House,"March 12, 2019",144,5.5 x 0.4 x 8.2 inches
Prince: The Last Interview,Prince,Paperback,$15.29,$16.99,9781612197456,Melville House Publishing,03/12/2019,144,5.40(w) x 8.20(h) x 0.40(d)
Shortest Way Home: One Mayor's Challenge and a Model for America's Future,Pete Buttigieg,Hardcover,$16.77,$27.95,978-1631494369,Liveright; 1 edition,"February 12, 2019",352,6.4 x 1.3 x 9.6 inches
Shortest Way Home: One Mayor's Challenge and a Model for America's Future,Pete Buttigieg,Hardcover,$17.94,$27.95,9781631494369,Liveright Publishing Corporation,02/12/2019,352,6.30(w) x 8.70(h) x 1.40(d)
The Matriarch: Barbara Bush and the Making of an American Dynasty,Susan Page,Hardcover,$19.50,$32.50,978-1538713648,Twelve,"April 2, 2019",432,6.4 x 1.5 x 9.2 inches
The Matriarch: Barbara Bush and the Making of an American Dynasty,Susan Page,Hardcover,$22.75,$32.50,9781538713648,Grand Central Publishing,04/02/2019,432,5.60(w) x 9.00(h) x 1.50(d)
Ten Caesars: Roman Emperors from Augustus to Constantine,Barry Strauss ,Hardcover,$16.80,$28.00,978-1451668834,Simon & Schuster,"March 5, 2019",432,6 x 1.3 x 9 inches
Ten Caesars: Roman Emperors from Augustus to Constantine,Barry Strauss,Hardcover,$23.80,$28.00,9781451668834,Simon & Schuster,03/05/2019,432,6.10(w) x 9.10(h) x 1.50(d)
"Five Presidents: My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford",Clint Hill and Lisa McCubbin ,Paperback,$16.20,$18.00,978-1476794143,Gallery Books; Reprint edition,"May 2, 2017",464,6 x 1.1 x 9 inches
"Five Presidents: My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford",Clint Hill,Paperback,$16.52,$18.00,9781476794143,Gallery Books,05/02/2017,464,6.00(w) x 8.90(h) x 1.30(d)
The Chief: The Life and Turbulent Times of Chief Justice John Roberts,Joan Biskupic ,Hardcover,$20.69,$32.00,978-0465093274,Basic Books,"March 26, 2019",432,6.4 x 1.5 x 9.6 inches
The Chief: The Life and Turbulent Times of Chief Justice John Roberts,Joan Biskupic,Hardcover,$28.80,$32.00,9780465093274,Basic Books,03/26/2019,432,5.70(w) x 8.70(h) x 1.60(d)
Churchill: Walking with Destiny,Andrew Roberts ,Hardcover,$25.47,$40.00,978-1101980996,Viking,"November 6, 2018",1152,6.4 x 2.2 x 9.6 inches
Churchill: Walking with Destiny,Andrew Roberts,Hardcover,$34.00,$40.00,9781101980996,Penguin Publishing Group,11/06/2018,1152,6.20(w) x 9.30(h) x 2.60(d)
Into the Wild,Jon Krakauer ,Paperback,$9.95,$15.00,978-0385486804,Anchor Books; 1 edition,"February 1, 1997",240,5.2 x 0.5 x 7.9 inches
Into the Wild,Jon Krakauer,Paperback,$13.13,$15.00,9780385486804,Knopf Doubleday Publishing Group,02/01/1997,224,5.10(w) x 7.90(h) x 0.60(d)
Frederick Douglass: Prophet of Freedom,David W. Blight ,Hardcover,$20.87,$37.50,978-1416590316,Simon & Schuster; 1st Edition edition,"October 16, 2018",912,6.2 x 1.8 x 9.2 inches
Frederick Douglass: Prophet of Freedom,David W. Blight,Hardcover,$31.88,$37.50,9781416590316,Simon & Schuster,10/16/2018,912,6.20(w) x 9.30(h) x 1.90(d)
Maus : A Survivor's Tale. I. My Father Bleeds History. II. And Here My Troubles Began,Art Spiegelman ,Paperback,$22.61,$31.90,978-0679748403,Pantheon; Later Printing edition,"October 19, 1993",300,6.7 x 1 x 9.4 inches
Maus: A Survivor's Tale - 2 Volume Boxed Set,Art Spiegelman,Paperback,$27.12,$31.90,9780679748403,Knopf Doubleday Publishing Group,11/01/1993,,6.70(w) x 9.40(h) x 1.05(d)
Persepolis: The Story of a Childhood (Pantheon Graphic Library),Marjane Satrapi ,Paperback,$8.88,$14.95,978-0375714573,Pantheon; 1st Edition edition,"June 1, 2004",160,6 x 0.5 x 8.9 inches
Persepolis: The Story of a Childhood,Marjane Satrapi,Paperback,$12.71,$14.95,9780375714573,Knopf Doubleday Publishing Group,06/01/2004,160,6.00(w) x 8.90(h) x 0.50(d)
The Girl with Seven Names,Hyeonseo Lee and David John ,Paperback,$12.29,$15.99,978-0007554850,William Collins; Reprint edition,"May 19, 2016",320,5.5 x 1 x 8 inches
The Girl with Seven Names: A North Korean Defector's Story,Hyeonseo Lee,Paperback,$13.59,$15.99,9780007554850,HarperCollins UK,05/19/2016,320,5.10(w) x 7.70(h) x 0.90(d)
