_id,Up_System,predicted,manual,title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
3574,0A,0,,Hiking Shenandoah National Park: A Guide to the Parks Greatest Hiking Adventures (Regional Hiking Series),Robert C. Gildart and Jane Gildart ,Paperback,$11.57,$19.95,9.78149301685e+12,Falcon Guides; 5th edition,04/15/16,264.0,6(w) x 8.9(h) x 0.6(d)
4515,0B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
4032,1A,1,,"Prisoner: My 544 Days in an Iranian PrisonSolitary Confinement, a Sham Trial, High-Stakes Diplomacy, and the Extraordinary Efforts It Took to Get Me Out",Jason Rezaian ,Hardcover,$18.41,$29.99,9.78006269158e+12,Anthony Bourdain/Ecco; 1st Edition edition,01/22/19,320.0,6(w) x 9(h) x 1(d)
2974,1B,1,,"Prisoner: My 544 Days in an Iranian PrisonSolitary Confinement, a Sham Trial, High-Stakes Diplomacy, and the Extraordinary Efforts It Took to Get Me Out",Jason Rezaian,Hardcover,$25.49,$29.99,9780062691576,HarperCollins Publishers,01/22/2019,320.0,5.90(w) x 9.10(h) x 1.20(d)
1159,2A,0,,Camino Island: A Novel,John Grisham ,Paperback,$12.75,$17.00,9.78152479714e+12,Bantam; Reprint edition,03/06/18,336.0,5.3(w) x 8(h) x 0.7(d)
4515,2B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
488,3A,0,,When Affirmative Action Was White: An Untold History of Racial Inequality in Twentieth-Century America,Ira Katznelson ,Paperback,$10.06,$16.95,9.78039332852e+12,W. W. Norton & Company; Reprint edition,08/17/06,272.0,5.5(w) x 8.3(h) x 0.8(d)
2955,3B,0,,Post Captain (Aubrey-Maturin Series #2),Patrick O'Brian,Paperback,$15.26,$16.95,9780393307061,"Norton, W. W. & Company, Inc.",08/17/1990,496.0,8.28(w) x 5.40(h) x 1.00(d)
1822,4A,0,,The Gruffalo,Julia Donaldson ,Paperback,$6.79,$7.99,9.78014240388e+12,Puffin Books; Reprint edition,03/02/06,32.0,8.5(w) x 10.6(h) x 0.2(d)
4515,4B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
380,5A,0,,Red Platoon: A True Story of American Valor,Clinton Romesha ,Paperback,$11.55,$17.00,9.78110198434e+12,Dutton; Reprint edition,05/02/17,400.0,5.3(w) x 8(h) x 1(d)
4515,5B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
2976,6A,0,,"Endure: Mind, Body, and the Curiously Elastic Limits of Human Performance",Alex Hutchinson and Malcolm Gladwell ,Hardcover,$15.66,$28.99,9.78006249987e+12,William Morrow; 1 edition,02/06/18,320.0,6(w) x 9(h) x 1(d)
4515,6B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
2203,7A,1,,The Unbearable Lightness of Being: A Novel (Harper Perennial Modern Classics),Milan Kundera ,Paperback,$15.05,$18.99,9.78006114852e+12,Harper Perennial Modern Classics; Deluxe edition,10/27/09,320.0,5.5(w) x 8.2(h) x 0.8(d)
4863,7B,1,,The Unbearable Lightness of Being,Milan Kundera,Paperback,$17.60,$18.99,9780061148521,HarperCollins Publishers,10/27/2009,314.0,5.60(w) x 8.20(h) x 1.00(d)
2999,8A,0,,Iron Cowboy - Redefine Impossible,James Lawrence ,Paperback,$22.49,$24.99,9.78099871881e+12,IronCowboy,05/15/17,300.0,6(w) x 9(h) x 0.7(d)
4515,8B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
4560,9A,0,,Brush Lettering from A to Z: A Fun and Comprehensive Guide to Creating Modern Calligraphy with a Brush Pen,Emma Witte ,Hardcover,$10.52,$14.99,9.78144132708e+12,"Peter Pauper Press, Inc.",06/01/18,160.0,7.6(w) x 9.7(h) x 0.9(d)
4515,9B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
