_id,Up_System,predicted,manual,title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
1199,0A,True,,The Circle,Dave Eggers ,Paperback,$9.57,$16.00,9.7803458073e+12,Vintage Books; 1st edition,04/22/14,497.0,5.2(w) x 7.9(h) x 0.9(d)
3713,0B,True,,The Circle,Dave Eggers,Paperback,$13.60,$16.00,9780345807298,Knopf Doubleday Publishing Group,04/22/2014,512.0,5.10(w) x 7.90(h) x 1.00(d)
1375,1A,False,,The Quiet American (Penguin Classics Deluxe Edition),Graham Greene and Robert Stone ,Paperback,$13.52,$17.00,9.78014303902e+12,Penguin Classics; Reprint edition,08/31/04,180.0,5.6(w) x 8.4(h) x 0.6(d)
4764,1B,False,,The Stone Diaries: (Penguin Classics Deluxe Edition),Carol Shields,Paperback,$15.30,$17.00,9780143105503,Penguin Publishing Group,09/30/2008,304.0,5.60(w) x 8.30(h) x 1.00(d)
2567,2A,True,,We,Yevgeny Zamyatin and Clarence Brown ,Paperback,$11.70,$16.00,9.78014018585e+12,Penguin Twentieth Century Classics,08/01/93,221.0,6(w) x 7.7(h) x 0.4(d)
5280,2B,True,,We,Yevgeny Zamyatin,Paperback,$7.99,$7.99,9780380633135,HarperCollins Publishers,08/01/1983,256.0,4.19(w) x 6.75(h) x 0.64(d)
2205,3A,False,,The Remains of the Day,Kazuo Ishiguro ,Paperback,$10.87,$16.00,9.78067973173e+12,Vintage International; 1st edition,09/12/90,245.0,5.2(w) x 7.9(h) x 0.6(d)
3788,3B,False,,The Day of the Jackal,Frederick Forsyth,Paperback,$15.27,$16.00,9780451239372,Penguin Publishing Group,09/04/2012,432.0,5.40(w) x 8.10(h) x 1.00(d)
1148,4A,True,,The Perfect Nanny: A Novel,Leila Slimani ,Paperback,$9.13,$16.00,9.78014313217e+12,Penguin Books,01/09/18,240.0,5.1(w) x 7.7(h) x 0.6(d)
4488,4B,True,,The Perfect Nanny,Leila Slimani,Paperback,$13.60,$16.00,9780143132172,Penguin Publishing Group,01/09/2018,240.0,5.00(w) x 7.40(h) x 0.70(d)
896,5A,False,,Revolutionary Suicide: (Penguin Classics Deluxe Edition),"Huey P. Newton , Ho Che Anderson, et al. ",Paperback,$14.81,$18.00,9.78014310533e+12,Penguin Classics; Reprint edition,09/29/09,384.0,5.6(w) x 8.4(h) x 1(d)
820,5B,False,,Ceremony: (Penguin Classics Deluxe Edition),Leslie Marmon Silko,Paperback,$16.20,$18.00,9780143104919,Penguin Publishing Group,12/26/2006,272.0,5.64(w) x 8.33(h) x 0.67(d)
2113,6A,False,,The Brief Wondrous Life of Oscar Wao,Junot Daz ,Paperback,$10.00,$16.00,9.7815944833e+12,Riverhead Books; Reprint edition,09/02/08,339.0,5.2(w) x 8(h) x 1(d)
4515,6B,False,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
