id,A_id,B_id
0,1199,3713
1,1375,4764
2,2567,5280
3,2205,3788
4,1148,4488
5,896,820
6,2113,4515
7,995,1059
8,3227,745
9,73,4515
10,2592,4647
11,2304,726
12,1400,4587
13,2865,5304
14,2212,1241
15,368,3926
16,2790,4515
17,1593,2876
18,207,2459
19,2043,2255
20,2260,4587
21,1136,5023
22,4050,1462
23,3625,4515
24,1701,5344
25,1474,1567
26,1345,1318
27,1354,3541
28,1793,4166
29,2506,4515
30,2593,3883
31,786,1423
32,3667,5300
33,1897,4383
34,1354,3656
35,2051,4642
36,3853,2672
37,2593,3622
38,3969,4967
39,2005,3720
40,1672,4694
41,2750,3034
42,477,4515
43,1616,3796
44,1938,1157
45,3065,2179
46,686,2367
47,4064,2602
48,3954,4515
49,1375,4047
50,2304,1359
51,1084,4303
52,2630,2523
53,1233,3548
54,2099,3665
55,1152,4685
56,2040,2038
57,2253,4376
58,1690,4132
59,1084,4850
60,2304,3312
61,364,4515
62,1177,5123
63,1034,5353
64,444,4515
65,926,4515
66,325,4871
67,1006,2837
68,1820,4515
69,3944,701
70,3943,4515
71,2500,726
72,3844,1673
73,2314,2425
74,2314,3409
75,139,4515
76,2089,593
77,1733,4037
78,269,4515
79,2644,1108
80,1792,5205
81,1400,3516
82,4391,4515
83,734,1849
84,1419,4685
85,362,613
86,1501,3547
87,1141,4911
88,2051,4850
89,1742,659
90,1354,4587
91,2340,4515
92,2965,4515
93,2484,4515
94,1664,4850
95,2205,4590
96,1609,2147
97,2304,1606
98,4144,4515
99,213,3470
100,1874,2996
101,777,4515
102,2020,5038
103,1802,145
104,412,4110
105,2222,2143
106,400,5202
107,1835,4736
108,2500,3312
109,1496,4903
110,1888,1359
111,1427,5237
112,1761,5286
113,4056,5026
114,1573,4674
115,3250,4515
116,2323,3923
117,1766,5007
118,1214,4035
119,1106,5368
120,2315,2904
121,1170,2553
122,2323,4183
123,1307,5023
124,289,4070
125,1609,2448
126,3932,5445
127,2500,2770
128,1082,4297
129,1433,4850
130,1529,4111
131,3342,4515
132,1907,5283
133,1618,4915
134,2935,4515
135,3348,4515
136,2620,2443
137,1746,2864
138,1861,945
139,3827,4515
140,205,3371
141,1170,2547
142,1792,1318
143,1365,1730
144,2664,4515
145,67,4515
146,1780,4985
147,1621,4031
148,1519,3761
149,1353,3558
150,1082,4644
151,1612,3874
152,2131,2039
153,2260,3541
154,1716,589
155,3956,1307
156,3566,5327
157,3580,4217
158,2190,4850
159,3694,5442
160,910,5425
161,3523,4323
162,1301,2904
163,1725,4417
164,4490,2908
165,2304,2770
166,2164,3765
167,2255,4515
168,791,1850
169,1815,4012
170,2070,4469
171,1985,2501
172,2302,4515
173,1511,754
174,3923,1282
175,518,4515
176,2260,4674
177,328,4515
178,460,4515
179,1987,775
180,1897,63
181,1024,6
182,1311,4383
183,1368,127
184,3921,1286
185,1600,3982
186,1725,4092
187,1608,219
188,813,4515
189,1208,2013
190,251,970
191,1614,1004
192,4020,4515
193,3562,3634
194,3707,1436
195,1519,4423
196,4052,5076
197,2866,3883
198,2070,3922
199,2269,5403
200,1434,2770
201,1214,3845
