_id,Up_System,predicted,manual,title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
1199,0A,TRUE,1,The Circle,Dave Eggers ,Paperback,$9.57,$16.00,9.7803458073E+12,Vintage Books; 1st edition,04/22/14,497,5.2(w) x 7.9(h) x 0.9(d)
3713,0B,TRUE,1,The Circle,Dave Eggers,Paperback,$13.60,$16.00,9780345807298,Knopf Doubleday Publishing Group,04/22/2014,512,5.10(w) x 7.90(h) x 1.00(d)
1375,1A,FALSE,0,The Quiet American (Penguin Classics Deluxe Edition),Graham Greene and Robert Stone ,Paperback,$13.52,$17.00,9.78014303902E+12,Penguin Classics; Reprint edition,08/31/04,180,5.6(w) x 8.4(h) x 0.6(d)
4764,1B,FALSE,0,The Stone Diaries: (Penguin Classics Deluxe Edition),Carol Shields,Paperback,$15.30,$17.00,9780143105503,Penguin Publishing Group,09/30/2008,304,5.60(w) x 8.30(h) x 1.00(d)
2567,2A,TRUE,1,We,Yevgeny Zamyatin and Clarence Brown ,Paperback,$11.70,$16.00,9.78014018585E+12,Penguin Twentieth Century Classics,08/01/93,221,6(w) x 7.7(h) x 0.4(d)
5280,2B,TRUE,1,We,Yevgeny Zamyatin,Paperback,$7.99,$7.99,9780380633135,HarperCollins Publishers,08/01/1983,256,4.19(w) x 6.75(h) x 0.64(d)
2205,3A,FALSE,0,The Remains of the Day,Kazuo Ishiguro ,Paperback,$10.87,$16.00,9.78067973173E+12,Vintage International; 1st edition,09/12/90,245,5.2(w) x 7.9(h) x 0.6(d)
3788,3B,FALSE,0,The Day of the Jackal,Frederick Forsyth,Paperback,$15.27,$16.00,9780451239372,Penguin Publishing Group,09/04/2012,432,5.40(w) x 8.10(h) x 1.00(d)
1148,4A,TRUE,1,The Perfect Nanny: A Novel,Leila Slimani ,Paperback,$9.13,$16.00,9.78014313217E+12,Penguin Books,01/09/18,240,5.1(w) x 7.7(h) x 0.6(d)
4488,4B,TRUE,1,The Perfect Nanny,Leila Slimani,Paperback,$13.60,$16.00,9780143132172,Penguin Publishing Group,01/09/2018,240,5.00(w) x 7.40(h) x 0.70(d)
896,5A,FALSE,0,Revolutionary Suicide: (Penguin Classics Deluxe Edition),"Huey P. Newton , Ho Che Anderson, et al. ",Paperback,$14.81,$18.00,9.78014310533E+12,Penguin Classics; Reprint edition,09/29/09,384,5.6(w) x 8.4(h) x 1(d)
