_id,Up_System,predicted,manual,title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
2914,50A,0,,"The New Encyclopedia of Modern Bodybuilding : The Bible of Bodybuilding, Fully Updated and Revised",Arnold Schwarzenegger and Bill Dobbins ,Paperback,$22.75,$32.00,9.78068485721e+12,"Simon & Schuster; Revised, Updated edition",11/05/99,800.0,8.5(w) x 10.9(h) x 1.8(d)
1440,50B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
3936,51A,1,,The Unstoppable Ruth Bader Ginsburg: American Icon,Antonia Felix and Mimi Leder ,Hardcover,$16.45,$29.95,9.78145493333e+12,Sterling,10/09/18,208.0,9.5(w) x 11.1(h) x 0.9(d)
4876,51B,1,,The Unstoppable Ruth Bader Ginsburg: American Icon,Antonia Felix,Hardcover,$25.46,$29.95,9781454933328,Sterling,10/09/2018,208.0,10.90(w) x 9.20(h) x 1.00(d)
603,52A,0,,"The Story of the World: History for the Classical Child, Volume 4: The Modern Age: From Victoria's Empire to the End of the USSR",Susan Wise Bauer ,Paperback,$12.20,$17.95,9.78097286034e+12,Peace Hill Press,06/17/05,512.0,5.3(w) x 8.3(h) x 1.1(d)
1440,52B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
1407,53A,0,,Breaking Point (A Joe Pickett Novel),C. J. Box ,Paperback,$8.54,$9.99,9.78042526461e+12,G.P. Putnam's Sons; Reprint edition,03/04/14,464.0,4.2(w) x 7.5(h) x 0.9(d)
4515,53B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
503,54A,0,,The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry ,Paperback,$15.68,$19.00,9.78014303649e+12,Penguin Books; Revised edition,10/04/05,546.0,5.5(w) x 8.4(h) x 1.2(d)
1440,54B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
2592,55A,0,,Practical Magic,Alice Hoffman ,Paperback,$13.21,$16.00,9.78042519037e+12,Berkley; Reissue edition,08/05/03,286.0,5.2(w) x 8(h) x 0.8(d)
4647,55B,0,,The Rules of Magic,Alice Hoffman,Paperback,$13.60,$16.00,9781501137488,Simon & Schuster,06/26/2018,400.0,5.20(w) x 7.60(h) x 1.00(d)
2639,56A,0,,The Blood Mirror (Lightbringer),Brent Weeks ,Paperback,$11.55,$17.99,9.78031625133e+12,Orbit; Reprint edition,07/18/17,736.0,5.5(w) x 8.2(h) x 1.8(d)
1440,56B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
1631,57A,0,,Junkyard Dogs: A Longmire Mystery,Craig Johnson ,Paperback,$13.38,$16.00,9.78014311953e+12,Penguin Books; Reprint edition,05/31/11,352.0,5.1(w) x 7.7(h) x 0.6(d)
4515,57B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
3705,58A,0,,The Autobiography of Gucci Mane,Gucci Mane and Neil Martinez-Belkin ,Paperback,$8.78,$16.00,9.78150116534e+12,Simon & Schuster; Reprint edition,09/04/18,304.0,5.5(w) x 8.4(h) x 1.2(d)
1440,58B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
3826,59A,0,,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo and Lynn Vincent ,Paperback,$9.93,$17.99,9.78084994616e+12,Thomas Nelson; Original edition,10/31/10,163.0,5(w) x 8(h) x 0.6(d)
1440,59B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
1609,60A,0,,Messenger of Truth: A Maisie Dobbs Novel (Maisie Dobbs Novels),Jacqueline Winspear ,Paperback,$15.75,$17.00,9.78031242686e+12,Picador; Reprint edition,06/12/07,319.0,5.5(w) x 8.2(h) x 0.6(d)
130,60B,0,,A Lesson in Secrets (Maisie Dobbs Series #8),Jacqueline Winspear,Paperback,$14.39,$15.99,9780061727719,HarperCollins Publishers,03/06/2012,352.0,5.30(w) x 7.90(h) x 1.00(d)
4331,61A,0,,"Beginner Classical Piano Music: Teach Yourself How to Play Famous Piano Pieces by Bach, Mozart, Beethoven & the Great Composers (Book, Streaming Videos & MP3 Audio)",Damon Ferrante ,Paperback,$21.94,$39.95,9.78069282319e+12,Steeplechase Arts,12/13/16,146.0,8.5(w) x 11(h) x 0.3(d)
4515,61B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
3310,62A,0,,How To Be Your Own Bodyguard: Self Defense for men & women from a lifetime of protecting clients in hostile environments.,Nick Hughes and Marcus Wynne ,Paperback,$16.19,$17.99,9.78098585652e+12,Nick Hughes,11/30/17,314.0,6(w) x 9(h) x 0.8(d)
1440,62B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
1963,63A,0,,Station Eleven,Emily St. John Mandel ,Paperback,$13.24,$16.95,9.78080417245e+12,Vintage; Reprint edition,06/02/15,352.0,5.2(w) x 8(h) x 0.8(d)
4515,63B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
1228,64A,0,,Transcription: A Novel,Kate Atkinson ,Hardcover,$18.30,$28.00,9.78031617664e+12,"Little, Brown and Company; First American Edition edition",09/25/18,352.0,6.6(w) x 9.6(h) x 1.4(d)
101,64B,0,,A God in Ruins,Kate Atkinson,Paperback,$5.98,$17.99,9780594777960,"Little, Brown and Company",01/12/2016,480.0,5.40(w) x 8.30(h) x 1.30(d)
1824,65A,0,,Heart Talk: Poetic Wisdom for a Better Life,Cleo Wade ,Paperback,$11.92,$17.99,9.78150117735e+12,Atria / 37 INK,03/06/18,224.0,5.5(w) x 7(h) x 0.7(d)
4515,65B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
