A_id,B_id
3574,4515
4032,2974
1159,4515
488,2955
1822,4515
380,4515
2976,4515
2203,4863
2999,4515
4560,4515
129,4515
3852,4515
2683,4515
2309,2713
2264,4881
3764,1796
2743,4515
239,2951
2099,3665
4021,4515
3562,3634
3341,4515
4752,4515
3936,4876
1407,4515
2592,4647
1631,4515
1609,130
4331,4515
1963,4515
1228,101
1824,4515
3293,4515
3954,4368
1475,4515
3782,4515
3155,4515
995,1004
3874,4515
3250,4515
1655,4515
2135,4515
2471,4724
1277,4035
3859,887
1593,3685
468,4515
3647,4515
400,4515
3672,4515
4132,4515
1794,4515
2138,4515
4279,4515
1376,4515
4078,2186
3172,4515
1886,4010
3227,745
1381,4515
1434,2770
2756,3847
3617,4515
2620,4515
550,4515
1793,4166
4254,4515
121,4515
2936,4515
1792,1004
2027,4413
3952,708
2007,4515
1832,2474
824,4515
3994,4515
1115,4515
4748,4515
312,4515
3842,2374
324,4515
1946,3996
3106,4515
4520,4515
1678,1004
3641,5092
3881,4832
778,4515
4029,4515
4031,4515
2492,4515
2632,4658
2286,3761
4328,4515
3662,4515
3315,4515
4672,4515
2953,4515
2463,4082
3032,4515
3381,4515
1809,4515
6,4345
2662,4515
1928,2200
1433,4646
4242,4515
4101,4515
1170,2548
478,2516
3505,4515
4091,4515
3408,1530
3889,4515
3814,4515
1362,4515
2459,4515
1218,4515
3222,4515
2465,4515
2992,4515
1621,3541
2274,4515
587,4515
1601,4515
306,4515
1814,4515
210,4515
1353,4515
278,1738
3616,4515
2664,4958
2024,4515
3779,4346
2154,4515
2947,4515
4064,4515
4528,4515
195,4515
1184,752
3012,4515
3586,1754
973,4515
4691,4515
2549,4515
1254,4850
196,4515
16,4515
434,4768
537,4515
1476,3557
1230,3129
1519,4600
1687,4515
3784,4515
1621,4031
3955,4515
3109,4515
3211,4515
4164,4515
3571,1275
4380,4515
1523,4515
1605,4515
1471,4515
213,3471
94,2773
309,4515
1172,4731
1761,5287
2260,4587
99,4515
2322,4515
2173,4515
1412,4515
2298,4515
2497,4515
786,1423
4056,5026
2939,2662
3926,2174
1580,4515
3935,4515
1963,3393
974,4515
3757,2339
3686,4311
1917,2435
2808,4515
1301,2904
1264,4515
1048,4515
1429,2788
3019,4515
3635,4515
4561,4515
4066,4515
1933,4515
56,4515
3453,4515
1581,4515
2195,4515
1135,4515
1262,4515
3111,4515
175,4515
4538,4515
525,4515
3449,4515
4071,4515
2056,4515
1139,4675
2525,4732
2561,4515
125,2173
2323,4183
1679,4515
3237,4515
2609,4515
68,2417
1417,3962
3614,4515
166,4515
4619,4515
3903,1779
245,4515
1374,3921
1380,4090
1858,4515
1758,4515
2780,4515
1042,4515
1985,2501
2358,4515
4388,4515
2175,4515
4549,4515
4490,4515
1614,1318
2315,2904
1449,4515
4659,4515
4383,4515
2107,4515
3029,4515
3921,1286
1723,4515
2054,4515
1419,3925
3467,4515
686,4515
4588,4515
2907,4515
3959,4515
4139,4515
651,4515
989,3596
341,4515
3745,4515
4343,4515
4151,4515
2023,4515
3620,4515
3210,4515
4575,4515
917,4515
4729,4515
2627,4515
3578,4515
1883,3147
908,4515
913,4515
2402,4515
4193,4515
1476,4383
3395,3208
3599,4515
4425,4515
737,4515
4649,4515
1690,4132
1689,4515
731,4515
1785,4515
1638,3782
4574,1380
3563,4515
2745,4515
2327,5205
1400,3557
2314,2425
3716,1851
3307,5096
3197,4515
3715,4515
2666,4515
2260,4802
450,4515
3181,4515
1442,4515
2067,4340
1354,4515
3757,2339
100,141
3694,5442
1868,4515
2088,4515
3154,4515
170,4523
2677,4515
281,2181
3340,2074
748,3779
1899,4515
4391,4515
1010,4515
766,4477
1584,4386
3744,630
1561,4515
187,4515
1216,3622
4128,4515
4599,4515
2888,4515
1170,2550
985,4515
1148,4488
635,4515
2866,4515
176,2416
2121,4515
3660,4515
1277,4362
2500,1962
2650,4515
1593,130
984,4515
1299,4171
2504,4515
4583,4527
3235,4515
2257,1722
1653,647
3102,4515
1812,4515
2226,4515
1433,4850
1228,5107
676,4515
2230,2844
8,4515
1884,4515
4022,551
1766,5007
3146,4515
272,4515
4370,4515
1056,2831
2696,4515
1254,4515
73,2912
2401,4515
1103,4515
1252,4515
621,4515
922,4515
608,2376
2644,4515
164,4515
378,4515
2429,4515
1820,4563
3299,4515
3853,4242
4642,4515
1992,4417
229,4515
4673,4515
1898,1007
4120,3202
3289,4515
4083,4515
1476,4031
1418,4515
3217,4515
1861,945
2832,1363
3941,4313
2043,4515
3568,4515
1875,4515
3212,4515
1185,4515
1457,586
85,4515
1402,4515
4007,4515
1250,4903
4358,4515
2995,4515
1037,4515
1344,4515
4689,4515
3829,4515
1898,229
914,4515
1214,4362
3247,4515
1436,4515
1796,124
1565,4515
2120,4515
3828,4515
2610,2094
2044,4515
749,4515
4292,4515
261,2669
4681,4515
1910,4515
2795,4515
1888,1359
1903,4515
896,3057
514,4515
1987,775
1419,4424
3245,4515
2294,873
4026,137
4483,4515
3859,4515
1354,3656
2084,4515
4490,2908
1973,417
709,4515
126,4515
2866,3883
2304,4116
2987,4515
1519,4515
2180,4515
23,4515
402,3431
3319,4515
3198,5404
4129,4515
1748,3327
1992,4515
2840,2859
3509,1134
1778,444
1571,4515
3536,4515
4136,3130
1170,4515
3545,4515
2260,3516
2078,4515
404,4515
2425,4515
2407,4515
1952,4790
1401,4515
3853,4515
1985,4515
259,4515
2997,4515
4724,4515
1832,1359
1978,3731
2420,786
3116,4515
66,4515
0,4515
1999,4515
3367,4515
3923,1282
2323,3914
2391,3654
1689,3555
783,4515
2675,4515
2411,4515
3975,4515
2882,4515
1437,4515
280,4515
764,4515
2310,4515
4172,4515
3092,4515
2580,4515
3030,4515
2496,4515
3725,4515
1791,4515
3606,4515
4107,4515
3018,4515
376,4515
2391,4782
1664,3191
481,4515
264,4515
1619,1095
2107,711
1818,4826
4153,4137
2145,820
695,4515
826,4515
623,4515
2574,4515
2463,4515
935,4515
85,3973
2129,4515
2592,2959
1434,4515
2957,4515
3122,4515
1659,4515
448,2416
448,2418
465,4515
3129,4515
4454,4515
239,4750
4095,4515
2314,3409
2256,4515
1277,4111
2583,4515
1638,4830
1279,4515
2055,4515
239,1751
2246,4515
2175,4790
1688,1366
3400,4515
935,3845
3250,5416
1374,3815
1560,4515
4511,4515
1710,4515
4507,4515
1258,4515
4457,4515
3162,4515
2175,1379
4448,4515
429,4515
1618,4915
4536,4515
3405,4515
622,4515
529,4515
1593,1200
807,1614
1844,4515
556,4515
550,2375
1422,4515
4432,4515
3333,4515
1667,2386
3857,4953
711,4515
3633,4515
1346,4515
2275,4515
3305,4515
1516,1131
4592,4515
2171,4515
1673,4515
2952,4515
1287,4515
2251,4515
2711,4515
2534,4515
3577,4515
2565,4515
1433,3865
4644,4515
836,4515
2346,4515
935,4111
1593,72
1166,4515
3068,4515
3867,4515
729,3842
3948,4515
3551,4515
3300,4515
2369,4515
2040,4515
1968,5079
2845,4515
3648,4515
2890,4515
3960,2019
1532,4515
930,2711
2186,4515
2244,4515
1288,4515
2340,165
4436,4515
1892,2697
1481,3925
882,4515
789,4515
2936,4551
2447,4936
61,4515
19,4515
2127,4515
4345,4515
3074,5290
2205,4515
404,2264
3159,4515
3777,4515
2295,4515
172,2123
4239,4515
874,4515
3558,4515
1671,3573
1951,4515
3281,4515
4647,4515
100,1789
931,3530
3878,1010
4662,4515
2315,4515
239,4515
673,4515
2057,4515
1788,4515
252,4515
1915,4515
1170,2546
3518,760
3369,4515
1744,4515
2201,2298
505,4515
4629,4515
1812,703
730,4608
3779,4515
2738,4515
4053,5409
2197,1787
193,4515
2287,4515
3081,4515
619,4515
2199,4515
2093,794
1208,2770
3571,4882
3498,4515
3485,4515
999,4515
3411,4515
1095,4515
1409,4515
3715,3249
1423,4515
1792,5205
2884,4515
2630,722
1832,2474
1233,4515
3710,4515
1428,4515
2729,4515
3149,1159
1654,4515
4719,4515
2362,4515
79,4515
3528,4515
206,4515
4293,4515
516,4515
3816,4515
499,3510
627,4515
3667,5300
2408,4515
1080,4515
863,4515
1671,4515
1356,4515
2197,4515
3113,4515
1554,4515
1976,4515
1178,4515
2681,4515
896,4428
3892,4515
3982,4515
2131,2039
1433,4035
1009,4515
2978,4515
202,1232
518,4515
3779,4982
1632,4515
2212,786
3415,3818
833,4515
4390,4515
544,4515
2356,4515
2774,4515
237,4515
3379,4515
4148,4515
967,4515
2212,2466
120,4515
3415,4515
1725,4035
3206,4515
916,4515
816,4515
2271,4515
729,4515
2425,851
2341,4515
4327,4515
1971,355
2605,4515
2707,4515
167,4515
797,4515
248,143
1080,4774
4037,311
3456,4515
1082,4297
3992,4515
1832,2770
395,4515
674,4515
3585,4515
247,4515
123,299
3007,4515
1708,3883
756,2955
1447,4515
4576,4515
1321,4515
2594,4515
3277,4515
1974,4515
2998,133
73,2911
1617,868
2572,4515
3751,4515
4154,4255
647,4515
3851,4515
1570,4515
2158,4515
250,4515
340,4515
3420,4515
