A_id,B_id
1859,4515
1725,3865
2340,3959
2225,4515
3140,4515
4181,4515
3923,4627
1519,3761
61,4515
2035,804
2974,4515
2182,4455
4279,4515
2239,4515
2365,4515
3120,4515
1563,4515
2342,4585
1027,4515
4130,4515
2596,4515
2903,4515
1433,4362
2693,4515
1748,3327
3158,4515
2177,4515
2742,4515
2269,4515
863,4515
2028,4515
1236,3589
1149,4515
1999,4043
217,4515
4458,4515
2894,4515
2045,352
3923,4627
2866,3883
1934,4515
2525,3914
350,4515
1476,3557
2665,4515
2236,4515
3779,1077
2927,4515
1228,5107
2533,4515
3995,4515
1311,4515
1643,4515
114,4515
3270,2695
1478,4515
1214,4092
2227,1946
378,4515
1672,4694
1321,232
2188,4515
4321,4515
3694,5442
4307,4515
1249,5072
4327,4515
4498,4515
4254,4515
1097,4906
1139,4515
771,4515
3149,4515
2970,4515
4,4515
3715,4515
2425,851
1419,4424
662,1048
4076,4515
2130,4515
3002,548
1170,2545
3986,4515
3750,4515
3351,4515
2260,4587
1720,4996
2090,4515
135,905
1104,4515
2258,4515
4421,4515
283,4515
1621,3557
1832,3312
1170,2554
1208,1359
2750,3034
3686,4312
3528,4515
1369,4515
995,5205
2252,4515
1010,4515
2054,4515
3689,4515
2756,4515
173,4515
3971,4381
3838,4515
1363,4515
120,4515
297,2775
2741,4515
131,4515
1053,3084
3410,4515
353,4515
3932,4515
1864,4515
3331,4515
2589,4515
1081,4515
2123,4515
1018,4515
2949,4515
1288,4515
1561,4515
1593,5072
4255,4515
1801,4515
2409,4515
1009,4515
252,4515
2314,3409
740,4515
2463,4079
1681,4515
2764,4515
1519,3557
3583,4515
1575,4515
1837,4406
2131,2039
1099,3883
1400,3516
3989,4515
1708,3883
3603,698
309,4515
2273,4515
784,4515
1347,4515
2420,4896
3494,4515
1620,4515
1892,4515
4576,4515
2284,4515
100,2905
2193,4515
4022,4515
2780,4515
1468,3914
3927,4515
3587,573
1249,2338
674,4515
2117,4515
1034,4903
756,2955
1704,1194
3406,4515
3240,4515
650,4515
1770,4515
2917,2175
2952,4515
1004,4730
2216,4515
1942,4493
3491,4515
4680,4515
3361,4515
3868,4515
1790,4521
673,4515
364,4515
1783,4515
248,143
3421,4515
2337,1016
372,4515
1394,1870
1668,4221
855,4515
1401,4515
1277,4515
3627,4515
3224,4515
2783,4515
2231,4515
1397,4515
2315,4515
3922,4515
4124,4515
825,4515
3686,4311
4492,4515
1621,4515
1082,4474
325,4871
1145,4515
1481,4515
862,4515
3878,2912
2775,4515
1888,2013
1771,4515
3520,4515
567,4515
2070,3922
3352,4515
1627,4515
1403,4515
3193,4515
3616,4515
2025,4515
1203,4515
1663,4515
2925,4515
1170,2551
2033,4515
2592,2959
2147,4515
96,4515
4310,4515
76,4515
1886,4515
73,2912
4658,4515
3781,4515
1797,4515
1281,4515
1394,4515
1210,4515
1170,2546
3043,4515
2624,4515
4644,4515
1008,4953
2774,4383
3815,4515
2729,4515
1220,4515
2821,4515
1082,4515
3223,4515
341,5369
3292,4515
3260,4515
1900,5268
710,4515
3681,4515
1019,4515
3113,4515
3405,4515
126,4515
2546,4600
1612,3874
932,1726
993,4515
2212,4515
931,4092
1172,4731
3848,4515
1354,3516
1928,2200
4174,4515
782,4515
1173,2593
4718,4515
413,4515
1419,4685
2646,3250
2675,4515
983,5297
229,4515
4111,4515
1269,4515
498,4515
3269,4515
1709,10
1837,3541
664,4515
2481,4515
1891,4515
2294,874
3277,4515
1279,2702
3337,4515
732,212
1353,3558
2043,2255
1573,3557
1888,490
594,4515
4539,4515
4548,4515
2972,4515
851,4871
2591,4456
143,4515
2314,3409
3878,4515
989,4515
3828,2066
1895,4515
3651,4515
2546,4423
1354,4515
1185,4515
2328,3228
1396,4515
1259,4515
2093,794
4148,4515
427,4515
519,4515
2046,4515
778,4515
167,4515
2132,4515
3058,4515
237,4515
207,2459
1501,3547
1287,4515
1529,3865
2633,4515
2314,4515
1678,4515
585,1147
1671,4515
1162,4515
1888,4515
213,3471
1808,377
2920,4515
935,196
1419,3925
3208,4515
3509,1134
1096,4515
1658,4515
4128,4515
4432,4515
2553,4515
3146,4515
1618,4915
2078,4515
1638,3782
3048,4515
1815,4012
3465,4515
3243,4515
4187,4515
3777,4515
3930,4515
448,2416
2945,4515
4102,4515
3078,4515
3190,4515
1118,4515
3523,4323
3385,4515
1781,4515
556,4515
3461,4515
1725,4362
85,4515
1147,4515
2648,4515
1602,4515
2235,4515
1267,4515
1138,4515
1725,4092
3730,4515
792,2369
3997,4515
1950,4515
2425,4515
4734,4515
4740,4515
1880,4515
400,4515
3446,3986
3955,4515
4719,4515
1609,5072
1113,4515
29,4515
3992,4515
3595,2941
3762,4515
3562,3634
2149,4515
3994,4515
2696,4515
4746,4515
1171,4515
1213,4515
1793,4515
281,2181
3049,4515
2522,4515
250,4515
3383,4515
2700,4515
37,4871
1092,4515
1299,4171
546,4515
1198,4515
2064,4515
3241,4515
730,4515
3656,4515
1832,2770
1888,1359
1205,2904
4159,4515
1725,4417
2668,4515
1573,4406
731,4515
279,4515
3800,4515
253,4515
1496,4903
202,1232
1466,4515
3467,1336
2134,4515
4400,4515
3913,4515
3408,4515
1725,4646
1391,4515
4426,4515
3669,4515
3698,4515
4683,4515
2281,4515
3470,4515
1631,4515
1400,4674
2915,4515
1537,4515
1042,4515
808,578
1993,4515
1540,5063
4317,4515
1921,4515
1869,4515
445,4515
3322,4515
3568,4515
4705,4515
3088,4515
1308,4515
3775,4515
1574,4515
2585,922
690,4515
65,4515
590,4515
4037,4515
2304,4515
4218,4515
1632,4515
1400,4406
1610,617
461,4343
2323,3758
1400,4515
2544,4515
529,4515
3592,2094
3490,4515
917,4515
1970,4515
4446,4515
241,1738
1115,4515
18,4515
3563,4515
1365,1730
4709,4515
587,425
2308,4515
931,4515
3566,5327
180,4515
4344,4515
4373,4515
3401,4515
1458,4515
1419,4141
2304,2770
4481,4515
4301,4515
2063,5277
275,4515
502,5464
4257,4515
2965,4515
1434,4515
3589,4515
3108,4515
2670,4515
4630,4515
335,4515
1859,4005
1394,130
3397,4515
4551,4515
607,4515
448,2418
2006,4515
1380,4090
1791,3803
3065,2179
2272,4515
3853,2671
277,484
2484,4515
3453,4515
2856,4515
1835,4515
16,4515
214,4515
277,4515
2343,4515
2689,4515
1710,4758
1394,72
4513,4515
3673,4515
1015,4515
2632,4658
100,2727
196,4515
3288,4515
4617,4515
3203,4515
1814,4438
1688,4515
2604,4515
662,4515
1433,3845
1219,4515
3384,4515
4028,269
1075,4515
1650,4515
1618,4122
3727,4515
4625,4515
1470,4515
722,4515
4331,4515
1793,4166
1766,5007
4660,4515
1664,4515
2546,3761
2507,4184
262,4515
1593,1200
1055,4515
1084,4850
1589,4515
696,4515
1059,4515
1846,4515
1938,1157
2857,4515
3551,4515
1226,4711
2042,2804
3617,5417
772,4515
274,4515
1651,4386
1313,5360
2890,4515
1148,4515
1265,4515
359,5087
1701,5344
2963,4515
3293,4515
1929,4515
1835,3959
3859,887
536,4515
4300,4515
1952,4790
2556,4515
1328,4394
2494,2321
3759,4515
2031,4515
3348,3659
